pk_name,pk_address,pk_code,pk_type_cd,pk_type_nm,oper_se,oper_se_nm,phone,weekday_start,weekday_end,weekend_start,weekend_end,holi_start,holi_end,parking_space,fee_type,basic_fee,basic_time,extra_fee,extra_time,daily_max_fee,monthly_fee,latitude,longitude,coord_src,PRK_STTS_YN,PRK_STTS_NM,NOW_PRK_VHCL_CNT,NOW_PRK_VHCL_UPDT_TM,PAY_YN,PAY_YN_NM,NGHT_PAY_YN,NGHT_PAY_YN_NM,LHLDY_OPER_BGNG_TM,LHLDY_OPER_END_TM,LHLDY_CHGD_FREE_SE,LHLDY_CHGD_FREE_SE_NAME,PRD_AMT,STRT_PKLT_MNG_NO,BSC_PRK_CRG,BSC_PRK_HR,ADD_PRK_CRG,ADD_PRK_HR,BUS_BSC_PRK_CRG,BUS_BSC_PRK_HR,BUS_ADD_PRK_HR,BUS_ADD_PRK_CRG,DAY_MAX_CRG,SHRN_PKLT_MNG_NM,SHRN_PKLT_MNG_URL,SHRN_PKLT_YN,SHRN_PKLT_ETC,collected_at,카카오맵_매칭된_주차장명,카카오맵_유사도,카카오맵_별점,카카오맵_리뷰수,카카오맵_URL,카카오맵_후기_URL
봉천복개3 공영주차장(시),관악구 신림동 1467-3,1163833,NS,노상 주차장,1,시간제 주차장,,900,1900,900.0,1500.0,0.0,0.0,1,유료,220.0,5.0,220.0,5.0,,162000.0,37.48806796,126.93139234,서울API,1.0,현재~20분이내 연계데이터 존재(현재 주차대수 표현),30.0,2026-06-28 01:16:22,Y,유료,N,야간 미개방,0.0,0.0,Y,유료,162000.0,1162010200001.0,220.0,5.0,220.0,5.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*,2026-06-28 01:08:17,,,,,,
독산동 금천교 공영주차장(시),금천구 독산동 1081-4,1167546,NS,노상 주차장,1,시간제 주차장,,900,1900,900.0,1500.0,0.0,0.0,1,유료,400.0,5.0,400.0,5.0,,160000.0,37.46654581,126.89009797,서울API,1.0,현재~20분이내 연계데이터 존재(현재 주차대수 표현),10.0,2026-06-28 01:16:59,Y,유료,N,야간 미개방,0.0,0.0,Y,유료,160000.0,1154510200186.0,400.0,5.0,400.0,5.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*,2026-06-28 01:08:17,,,,,,
신답고가 주변(구),동대문구 답십리동 530-6,1189778,NS,노상 주차장,1,시간제 주차장,,900,1900,900.0,1500.0,0.0,0.0,1,유료,500.0,10.0,500.0,10.0,36000.0,120000.0,37.5692227298486,127.051064391463,카카오,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-28 01:08:18,신답고가 노상공영주차장,70.0%,평가 없음,0,https://place.map.kakao.com/1031031743,
동대문소방서노상(구),동대문구 장안동 434-0,1193467,NS,노상 주차장,1,시간제 주차장,02-456-2591,900,1900,900.0,1500.0,0.0,0.0,1,유료,500.0,10.0,500.0,10.0,36000.0,120000.0,37.5640227755338,127.066837316401,카카오,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-28 01:08:18,동대문소방서 노상공영주차장,91.7%,평가 없음,0,https://place.map.kakao.com/1515829123,
여의도공원앞1 노상주차장(구),영등포구 여의도동 2-11,119824,NS,노상 주차장,1,시간제 주차장,02-2650-1436,900,1900,900.0,1500.0,0.0,0.0,1,유료,500.0,5.0,1000.0,10.0,20000.0,200000.0,37.5256978974636,126.924240629895,카카오,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-28 01:08:19,,,조건 불일치 제외,,,
청계2(북2) 공영주차장(시),종로구 관수동 91-4,1208601,NS,노상 주차장,1,시간제 주차장,,900,1900,900.0,1500.0,0.0,0.0,1,유료,750.0,5.0,750.0,5.0,,,37.56878199,126.99591057,서울API,1.0,현재~20분이내 연계데이터 존재(현재 주차대수 표현),4.0,2026-06-28 01:16:57,Y,유료,N,야간 미개방,0.0,0.0,Y,유료,0.0,1111015500003.0,750.0,5.0,750.0,5.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*,2026-06-28 01:08:19,,,,,,
청계3(북1) 공영주차장(시),종로구 예지동 140-1,1210657,NS,노상 주차장,1,시간제 주차장,,900,1900,900.0,1500.0,0.0,0.0,1,유료,750.0,5.0,750.0,5.0,,,37.56967214,127.00112596,서울API,1.0,현재~20분이내 연계데이터 존재(현재 주차대수 표현),2.0,2026-06-28 01:16:57,Y,유료,N,야간 미개방,0.0,0.0,Y,유료,0.0,1111015800003.0,750.0,5.0,750.0,5.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*,2026-06-28 01:08:19,,,,,,
가마산고가밑 공영주차장(시),구로구 구로동 414-13,1234305,NS,노상 주차장,1,시간제 주차장,,900,1900,900.0,1500.0,0.0,0.0,1,유료,120.0,5.0,120.0,5.0,,,37.49279709,126.88255837,서울API,1.0,현재~20분이내 연계데이터 존재(현재 주차대수 표현),11.0,2026-06-28 01:16:59,Y,유료,N,야간 미개방,0.0,0.0,Y,유료,0.0,1153010200072.0,120.0,5.0,120.0,5.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*,2026-06-28 01:08:19,,,,,,
청계3(남) 공영주차장(시),중구 주교동 51-3,1235522,NS,노상 주차장,1,시간제 주차장,,900,1900,900.0,1500.0,0.0,0.0,1,유료,750.0,5.0,750.0,5.0,,,37.56882563,126.99856505,서울API,0.0,미연계중,,,Y,유료,N,야간 미개방,0.0,0.0,Y,유료,0.0,1114015200211.0,750.0,5.0,750.0,5.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*,2026-06-28 01:08:19,,,,,,
청계6(청평화) 공영주차장(시),중구 신당동 217-91 0,1235665,NS,노상 주차장,1,시간제 주차장,02-2252-8036,0,2400,0.0,2400.0,0.0,0.0,1,유료,450.0,5.0,450.0,5.0,,,37.56959934,127.01508269,서울API,1.0,현재~20분이내 연계데이터 존재(현재 주차대수 표현),3.0,2026-06-28 01:16:24,Y,유료,N,야간 미개방,0.0,0.0,Y,유료,0.0,1114016200217.0,450.0,5.0,450.0,5.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*,2026-06-28 01:08:19,,,,,,
남대문 화물 공영주차장(시),중구 남대문로4가 24-1,1236612,NS,노상 주차장,1,시간제 주차장,,900,1900,900.0,1900.0,900.0,1900.0,1,유료,400.0,5.0,400.0,5.0,,,37.56069448,126.97708039,서울API,0.0,미연계중,,,Y,유료,N,야간 미개방,900.0,1900.0,N,무료,,1114011700001.0,400.0,5.0,400.0,5.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*,2026-06-28 01:08:19,,,,,,
신설동 공영주차장(시),동대문구 신설동 114-29,1247636,NW,노외 주차장,1,시간제 주차장,02-2232-6096,900,1900,900.0,1900.0,900.0,1900.0,79,유료,360.0,5.0,360.0,5.0,,84000.0,37.57252061,127.02425684,서울API,1.0,현재~20분이내 연계데이터 존재(현재 주차대수 표현),37.0,2026-06-28 01:16:53,Y,유료,N,야간 미개방,900.0,1900.0,N,무료,84000.0,,360.0,5.0,360.0,5.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*,2026-06-28 01:08:19,,,,,,
천호2동노외주차장(구),강동구 천호동 457-7,1247641,NW,노외 주차장,1,시간제 주차장,,900,1800,900.0,1800.0,,,13,유료,250.0,5.0,250.0,5.0,,,37.5403385944217,127.1230043201,카카오,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-28 01:08:20,천호2동 노외공영주차장,90.0%,평가 없음,0,https://place.map.kakao.com/20587606,
구의3동 공영주차장(구),광진구 구의동 219-15,1247659,NW,노외 주차장,1,시간제 주차장,02-2049-4596,0,2400,0.0,0.0,0.0,0.0,159,유료,150.0,5.0,150.0,5.0,,,37.5391154662864,127.091360978592,카카오,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-28 01:08:21,구의3동 공영주차장,100.0%,평가 없음,0,https://place.map.kakao.com/20513710,
광진광장 공영주차장(구),광진구 군자동 374-9,1247661,NW,노외 주차장,1,시간제 주차장,02-2049-4596,0,2400,0.0,2400.0,0.0,2400.0,33,유료,250.0,5.0,,,100000.0,,37.5476336466758,127.073774192613,카카오,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-28 01:08:21,광진광장 공영주차장,100.0%,4.0,2,https://place.map.kakao.com/11475808,https://place.map.kakao.com/11475808#review
암사1동 주차장(구),강동구 암사동 59-2,1247675,NW,노외 주차장,1,시간제 주차장,02-428-2431,0,2400,0.0,2400.0,0.0,2400.0,114,유료,150.0,5.0,150.0,5.0,,80000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-28 01:08:22,,,,,,
망원1-2 공영주차장(구),마포구 망원동 403-2,1247678,NW,노외 주차장,1,시간제 주차장,02-300-5046,0,2400,0.0,2400.0,0.0,2400.0,148,유료,300.0,5.0,300.0,5.0,,140000.0,37.5555820062404,126.905860657206,카카오,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-28 01:08:23,망원1-2공영주차장,100.0%,2.6,22,https://place.map.kakao.com/20540979,https://place.map.kakao.com/20540979#review
영등포동제3공영(구),영등포구 영등포동4가 442-0,1254863,NW,노외 주차장,1,시간제 주차장,02-2677-1401,0,2400,0.0,2400.0,0.0,2400.0,172,유료,250.0,5.0,250.0,5.0,,120000.0,37.5170754549268,126.903340879819,카카오,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-28 01:08:23,영등포동 제3공영주차장,100.0%,4.0,4,https://place.map.kakao.com/1004087068,https://place.map.kakao.com/1004087068#review
청파동1마을공원공영주차장(구),용산구 청파동3가 118-102,1268780,NW,노외 주차장,1,시간제 주차장,02-749-5314,0,2400,0.0,2400.0,0.0,2400.0,105,유료,150.0,5.0,150.0,5.0,,98000.0,37.5429311541511,126.96845718281,카카오,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-28 01:08:24,청파동1마을공원 공영주차장,100.0%,4.0,6,https://place.map.kakao.com/26564840,https://place.map.kakao.com/26564840#review
영등포구청역 공영주차장(시),영등포구 당산동3가 370-3,1277144,NW,노외 주차장,1,시간제 주차장,02-2290-6089,500,100,500.0,100.0,500.0,100.0,137,유료,400.0,5.0,400.0,5.0,,134000.0,37.52432737,126.89548892,서울API,1.0,현재~20분이내 연계데이터 존재(현재 주차대수 표현),48.0,2026-06-28 01:16:53,Y,유료,N,야간 미개방,500.0,100.0,N,무료,134000.0,,400.0,5.0,400.0,5.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*,2026-06-28 01:08:24,,,,,,
잠실역 공영주차장(시),송파구 신천동 27-0,1277145,NW,노외 주차장,1,시간제 주차장,02-2290-6402,500,100,500.0,100.0,500.0,100.0,357,유료,440.0,5.0,440.0,5.0,,275000.0,37.51427683,127.10341414,서울API,1.0,현재~20분이내 연계데이터 존재(현재 주차대수 표현),46.0,2026-06-28 01:16:53,Y,유료,N,야간 미개방,500.0,100.0,N,무료,275000.0,,440.0,5.0,440.0,5.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*,2026-06-28 01:08:24,,,,,,
장안2동 공영주차장(시),동대문구 장안동 286-9,1277146,NW,노외 주차장,1,시간제 주차장,02-2290-6417,0,2400,0.0,2400.0,0.0,2400.0,80,유료,130.0,5.0,130.0,5.0,,84000.0,37.5782752,127.07061896,서울API,1.0,현재~20분이내 연계데이터 존재(현재 주차대수 표현),60.0,2026-06-28 01:16:54,Y,유료,N,야간 미개방,0.0,2400.0,N,무료,84000.0,,130.0,5.0,130.0,5.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*,2026-06-28 01:08:24,,,,,,
당산노외 공영주차장(시),영등포구 당산동3가 2-1,1277160,NW,노외 주차장,1,시간제 주차장,02-1533-2315,800,2100,800.0,2100.0,800.0,2100.0,236,유료,400.0,5.0,400.0,5.0,,168000.0,37.52625065,126.89945376,서울API,1.0,현재~20분이내 연계데이터 존재(현재 주차대수 표현),39.0,2026-06-28 01:16:54,Y,유료,N,야간 미개방,800.0,2100.0,N,무료,168000.0,,400.0,5.0,400.0,5.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*,2026-06-28 01:08:24,,,,,,
명일파출소 공영주차장(시),강동구 명일동 47-9,1277163,NW,노외 주차장,1,시간제 주차장,,900,2000,900.0,1500.0,0.0,0.0,12,유료,220.0,5.0,220.0,5.0,,162000.0,37.55361065,127.15591212,서울API,1.0,현재~20분이내 연계데이터 존재(현재 주차대수 표현),5.0,2026-06-28 01:16:23,Y,유료,N,야간 미개방,0.0,0.0,Y,유료,162000.0,,220.0,5.0,220.0,5.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*,2026-06-28 01:08:24,,,,,,
도곡로21길 7 공영주차장(구),강남구 역삼동 795-25,1364466,NW,노외 주차장,1,시간제 주차장,02-2176-0920,0,2400,0.0,2400.0,0.0,2400.0,75,유료,400.0,5.0,400.0,5.0,,280000.0,37.4924961418419,127.038795243893,카카오,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-28 01:08:25,도곡로21길7 공영노외주차장,92.3%,평가 없음,0,https://place.map.kakao.com/20519196,
탄천제2호 공영주차장(구),강남구 일원동 4-49,1364468,NW,노외 주차장,1,시간제 주차장,02-2176-0931,0,2400,0.0,2400.0,0.0,2400.0,322,유료,100.0,5.0,100.0,5.0,,70000.0,37.494122872449,127.087436634946,카카오,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-28 01:08:25,탄천제2호 공영주차장,100.0%,2.0,1,https://place.map.kakao.com/17766920,https://place.map.kakao.com/17766920#review
영희초교 공영주차장(구),강남구 일원동 617-0,1364472,NW,노외 주차장,1,시간제 주차장,02-3423-6403,0,2400,0.0,2400.0,0.0,2400.0,185,유료,100.0,5.0,100.0,5.0,,70000.0,37.4919415183164,127.081276460173,카카오,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-28 01:08:26,영희초등학교 공영주차장,90.0%,3.0,2,https://place.map.kakao.com/12413204,https://place.map.kakao.com/12413204#review
개봉1동 노외주차장(구),구로구 개봉동 134-8,1366395,NW,노외 주차장,1,시간제 주차장,,0,2400,0.0,2400.0,0.0,2400.0,134,유료,100.0,5.0,100.0,5.0,,75000.0,37.4999921852315,126.851037166119,카카오,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-28 01:08:26,개봉1동노외 공영주차장,90.0%,평가 없음,0,https://place.map.kakao.com/20512958,
송정동(건물) 공영주차장(구),성동구 송정동 68-57,1366504,NW,노외 주차장,1,시간제 주차장,02-2204-7970,0,2400,0.0,2400.0,0.0,2400.0,120,유료,150.0,5.0,,,,30000.0,37.549962191668,127.068066179581,카카오,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-28 01:08:27,송정동 공영주차장,100.0%,평가 없음,0,https://place.map.kakao.com/7970747,
동작대교 공영주차장(시),용산구 용산동6가 69-11,1366527,NW,노외 주차장,1,시간제 주차장,,800,2200,800.0,2200.0,800.0,2200.0,88,유료,120.0,5.0,120.0,5.0,,80000.0,37.518577,126.983287,서울API,1.0,현재~20분이내 연계데이터 존재(현재 주차대수 표현),52.0,2026-06-28 01:16:54,Y,유료,N,야간 미개방,800.0,2200.0,N,무료,80000.0,,120.0,5.0,120.0,5.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*,2026-06-28 01:08:27,,,,,,
개화역 공영주차장(시),강서구 개화동 664-0,1366576,NW,노외 주차장,1,시간제 주차장,02-2290-6312,0,2400,0.0,2400.0,0.0,2400.0,483,유료,290.0,5.0,290.0,5.0,,109000.0,37.57798421,126.79821222,서울API,1.0,현재~20분이내 연계데이터 존재(현재 주차대수 표현),363.0,2026-06-28 01:16:54,Y,유료,N,야간 미개방,0.0,2400.0,N,무료,109000.0,,290.0,5.0,290.0,5.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*,2026-06-28 01:08:27,,,,,,
신대방역 공영주차장(시),관악구 신림동 498-0,1366590,NW,노외 주차장,1,시간제 주차장,02-2290-6144,0,2400,0.0,2400.0,0.0,2400.0,60,유료,360.0,5.0,360.0,5.0,,168000.0,37.48830327,126.91452278,서울API,1.0,현재~20분이내 연계데이터 존재(현재 주차대수 표현),46.0,2026-06-28 01:16:54,Y,유료,N,야간 미개방,0.0,2400.0,N,무료,168000.0,,360.0,5.0,360.0,5.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*,2026-06-28 01:08:27,,,,,,
구로디지털단지역(상) 공영주차장(시),관악구 신림동 1677-5,1366593,NW,노외 주차장,1,시간제 주차장,,800,2100,800.0,2100.0,800.0,2100.0,31,유료,360.0,5.0,360.0,5.0,,168000.0,37.48481135,126.90323392,서울API,1.0,현재~20분이내 연계데이터 존재(현재 주차대수 표현),14.0,2026-06-28 01:16:54,Y,유료,N,야간 미개방,800.0,2100.0,N,무료,168000.0,,360.0,5.0,360.0,5.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*,2026-06-28 01:08:27,,,,,,
